Price,Close,High,Low,Open,Volume
Ticker,304100.KQ,304100.KQ,304100.KQ,304100.KQ,304100.KQ
Date,,,,,
2025-01-02,24050.0,24100.0,22150.0,22700.0,258431
2025-01-03,23950.0,24150.0,23250.0,23800.0,193917
2025-01-06,25000.0,25050.0,23800.0,24600.0,305823
2025-01-07,24300.0,25250.0,24200.0,24800.0,211614
2025-01-08,23300.0,24050.0,23050.0,23800.0,237999
2025-01-09,23250.0,23450.0,22500.0,23300.0,191961
2025-01-10,22650.0,23400.0,22600.0,23400.0,148631
2025-01-13,22200.0,23000.0,22000.0,22350.0,129860
2025-01-14,22650.0,22800.0,22200.0,22250.0,80768
2025-01-15,22400.0,22950.0,22400.0,22650.0,97011
2025-01-16,22600.0,23150.0,22500.0,22800.0,124706
2025-01-17,21600.0,22750.0,21500.0,22700.0,235737
2025-01-20,22200.0,22450.0,21550.0,21850.0,154247
2025-01-21,22450.0,22750.0,21950.0,22350.0,125601
2025-01-22,23450.0,24400.0,23250.0,24100.0,386915
2025-01-23,23200.0,24100.0,23150.0,23700.0,180192
2025-01-24,23400.0,25500.0,23100.0,23200.0,662637
2025-01-31,27650.0,28100.0,24000.0,24300.0,2932867
2025-02-03,28150.0,30150.0,27900.0,28500.0,2396300
2025-02-04,28300.0,30450.0,27550.0,29050.0,2358996
2025-02-05,33150.0,33650.0,28450.0,28950.0,6316919
2025-02-06,33150.0,33900.0,32500.0,33050.0,1633394
2025-02-07,33400.0,35550.0,32950.0,33150.0,1810105
2025-02-10,33400.0,35500.0,32250.0,34000.0,1320562
2025-02-11,31850.0,36950.0,31800.0,33700.0,2621138
2025-02-12,30800.0,32550.0,30450.0,32200.0,896452
2025-02-13,29600.0,31050.0,28700.0,31000.0,864860
2025-02-14,29000.0,30550.0,28850.0,29950.0,800889
2025-02-17,30150.0,30300.0,29200.0,29400.0,658388
2025-02-18,30800.0,31600.0,29450.0,30300.0,941372
2025-02-19,29300.0,31000.0,29100.0,30800.0,505151
2025-02-20,28200.0,30300.0,27600.0,30000.0,540631
2025-02-21,27850.0,28650.0,27500.0,28400.0,293313
2025-02-24,26750.0,27450.0,26350.0,27150.0,383912
2025-02-25,27350.0,27700.0,26350.0,26650.0,275544
2025-02-26,27100.0,27600.0,26650.0,26850.0,184601
2025-02-27,26500.0,27850.0,26400.0,27750.0,193407
2025-02-28,24900.0,26200.0,24900.0,25650.0,324949
2025-03-04,24600.0,24900.0,23950.0,24500.0,171311
2025-03-05,25300.0,25400.0,24500.0,24600.0,186551
2025-03-06,24000.0,25750.0,23900.0,25750.0,235984
2025-03-07,24200.0,24600.0,23350.0,23600.0,175533
2025-03-10,23750.0,24500.0,23500.0,23500.0,125267
2025-03-11,23300.0,23400.0,22500.0,22850.0,177669
2025-03-12,24000.0,24700.0,22950.0,23250.0,256615
2025-03-13,23750.0,24900.0,23600.0,24850.0,196569
2025-03-14,24800.0,25150.0,23550.0,23600.0,182889
